TIME(2023/11/07 09:45:11.918),FPOGD,FPOGID,LPMM,RPMM,AOI
0,0,1,4.02183,3.66678,
0.00699,0.00698,1,3.85602,3.67031,
0.01367,0.01367,1,4.01764,3.69367,
0.02045,0.02044,1,4.01667,3.74169,
0.02682,0.02682,1,3.98126,3.86287,
0.03528,0.03527,1,3.96208,3.86249,
0.04034,0.04034,1,4.05252,3.84312,
0.04648,0.04647,1,4.18766,3.7724,
0.05328,0.05328,1,4.20283,3.74188,
0.06046,0.06045,1,4.0945,3.71571,
0.06671,0.06671,1,4.10798,3.71977,
0.07327,0.07327,1,4.07226,3.66713,
0.08014,0.08013,1,4.13286,3.74321,
0.0871,0.08709,1,4.10222,3.76552,
0.09393,0.09393,1,4.16317,3.80732,
0.10068,0.10067,1,4.16647,3.79736,
0.10721,0.1072,1,4.11761,3.82579,
0.11386,0.11386,1,4.13195,4.02716,
0.12076,0.12075,1,4.14259,4.03331,
0.12775,0.12774,1,3.98172,4.02013,
0.13422,0.13421,1,4.10707,4.01424,
0.14111,0.14111,1,4.09243,4.02097,
0.14716,0.14715,1,4.05312,4.05509,
0.15408,0.15408,1,4.07733,4.05646,
0.16034,0.16034,1,4.06811,4.05645,
0.1673,0.16729,1,3.91643,4.09673,
0.17459,0.16729,1,3.90635,4.06539,
0.18124,0.16729,1,3.90734,4.04961,
0.18784,0.16729,1,3.94779,4.09491,
0.19547,0.02087,2,4.03403,3.91394,
0.20148,0.02689,2,3.99693,3.94149,
0.20715,0.03256,2,3.8229,3.93785,
0.21475,0.04016,2,3.75156,3.89549,
0.22086,0.04626,2,3.8199,3.85034,
0.22778,0.05319,2,3.81681,3.85091,
0.23438,0.05978,2,3.85974,3.90018,
0.24146,0.06686,2,3.86674,3.89276,
0.24768,0.07309,2,3.90057,3.8498,
0.25473,0.08014,2,3.83277,3.7474,
0.26111,0.08652,2,3.89267,3.83624,
0.26813,0.09354,2,3.97085,3.76407,
0.2746,0.10001,2,3.82684,3.77042,
0.28137,0.10678,2,3.82744,3.66523,
0.28799,0.1134,2,3.87995,3.74263,
0.29514,0.12054,2,3.96042,3.75877,
0.30118,0.12659,2,3.81308,3.75829,
0.30786,0.13327,2,3.83688,3.82329,
0.31451,0.13992,2,3.83383,3.74693,
0.32181,0.14722,2,3.85502,3.72792,
0.32816,0.15356,2,3.8848,3.7899,
0.33493,0.16034,2,3.88157,3.84749,
0.34186,0.16727,2,3.97479,3.85343,
0.34827,0.17368,2,3.98609,3.82824,
0.35529,0.18069,2,3.9959,3.82699,
0.36172,0.18713,2,4.00065,3.71189,
0.36911,0.19452,2,4.03273,3.74644,
0.37491,0.20032,2,3.8565,3.77492,
0.38165,0.20706,2,3.924,3.77508,
0.38852,0.21393,2,3.95306,3.80994,
0.39514,0.22055,2,3.94746,3.81708,
0.40219,0.2276,2,3.89085,3.84307,
0.40863,0.23404,2,3.87419,3.83132,
0.41513,0.24054,2,3.86448,3.82747,
0.42175,0.24716,2,3.86575,3.83284,
0.42847,0.25388,2,3.89219,3.75142,
0.4357,0.26111,2,3.88657,3.83397,
0.44168,0.26709,2,3.97821,3.818,
0.4491,0.27451,2,3.97021,3.81633,
0.45551,0.28091,2,3.9804,3.81743,
0.46213,0.28754,2,3.97315,3.80233,
0.4696,0.29501,2,3.99824,3.81413,
0.47531,0.30072,2,3.96586,3.7503,
0.48203,0.30743,2,3.87214,3.67919,
0.48911,0.31451,2,3.91115,3.90846,
0.49561,0.32101,2,3.94603,3.79799,
0.50269,0.32809,2,3.92141,3.72653,
0.50937,0.33478,2,3.93895,3.87927,
0.51596,0.34137,2,3.95912,3.78358,
0.52386,0.34137,2,4.02703,3.83769,
0.52994,0.34137,2,3.97543,3.86323,
0.53622,0.34137,2,3.93399,3.81965,
0.54276,0.01889,3,3.93014,3.81613,
0.54935,0.02548,3,3.93862,3.82474,
0.55621,0.03235,3,3.93402,3.80446,
0.56265,0.03879,3,3.9767,3.78845,
0.56964,0.04578,3,3.99759,3.70725,
0.57642,0.05255,3,3.99961,3.74995,
0.58234,0.05847,3,4.02142,3.75959,
0.5892,0.06534,3,4.07262,3.86517,
0.59619,0.07233,3,3.98865,3.85483,
0.60297,0.0791,3,4.03593,3.87249,
0.60989,0.08603,3,4.01307,3.85969,
0.61655,0.09268,3,4.02404,3.86164,
0.62323,0.09937,3,4.03306,3.84164,
0.62967,0.1058,3,4.02096,3.66444,
0.63599,0.11212,3,4.1864,3.91664,
0.6427,0.11884,3,4.17956,4.01519,
0.65002,0.12616,3,4.31026,3.76916,
0.65652,0.13266,3,4.41187,3.81635,
0.66342,0.13266,3,4.47042,3.77817,
0.67014,0.13266,3,4.79018,3.84924,
0.67694,0.13266,3,4.23199,3.91271,
0.6832,0.13266,3,4.16245,3.83785,
0.69012,0.13266,3,4.13551,3.82196,
0.69635,0.13266,3,4.10121,3.83013,
0.70322,0.02002,4,4.1055,3.78477,
0.7099,0.0267,4,4.06758,3.78161,
0.71677,0.03357,4,4.06041,3.74848,
0.72348,0.04028,4,4.06091,3.73031,
0.73032,0.04712,4,4.10416,3.74035,
0.73685,0.05365,4,4.10138,3.76407,
0.74347,0.06027,4,4.08991,3.7676,
0.75098,0.06778,4,4.07612,3.75259,
0.75711,0.07391,4,4.10125,3.74558,
0.76337,0.08017,4,4.07693,3.74299,
0.77029,0.0871,4,4.0671,3.73669,
0.77704,0.09384,4,4.06045,3.73597,
0.78397,0.10077,4,4.07362,3.74795,
0.79071,0.10751,4,4.06804,3.72542,
0.79681,0.11362,4,4.09346,3.72167,
0.80368,0.12048,4,4.07949,3.72429,
0.81039,0.1272,4,4.06927,3.72975,
0.81723,0.13403,4,4.07142,3.71586,
0.82419,0.14099,4,4.10434,3.72644,
0.8309,0.14771,4,4.08278,3.721,
0.83759,0.15439,4,4.07159,3.7237,
0.8443,0.1611,4,4.07832,3.77198,
0.85187,0.16867,4,4.1178,3.75377,
0.8584,0.1752,4,4.09089,3.75249,
0.86414,0.18094,4,4.08377,3.78303,
0.87079,0.18759,4,4.09768,3.78403,
0.87747,0.18759,4,4.09793,3.7659,
0.88452,0.18759,4,4.09571,3.78321,
0.89105,0.18759,4,4.1059,3.77036,
0.89804,0.18759,4,4.07125,3.79053,
0.90448,0.18759,4,4.0396,3.79378,
0.91098,0.18759,4,4.06576,3.74852,
0.91751,0.01947,5,4.06087,3.75599,
0.92416,0.02612,5,4.05896,3.75155,
0.931,0.03296,5,4.05252,3.7831,
0.93799,0.03995,5,4.06166,3.82293,
0.94455,0.04651,5,4.0595,3.8321,
0.95151,0.05347,5,4.09474,3.79024,
0.95798,0.05994,5,4.1117,3.78852,
0.96432,0.06628,5,4.11522,3.78806,
0.97113,0.07309,5,4.09282,3.7976,
0.97809,0.08005,5,4.10381,3.8242,
0.98489,0.08685,5,4.11807,3.82055,
0.99164,0.0936,5,4.08309,3.82364,
0.99823,0.10019,5,4.07681,3.79649,
1.0047,0.10666,5,4.07739,3.77706,
1.01151,0.11346,5,4.08661,3.79518,
1.0184,0.12036,5,4.10104,3.7949,
1.02463,0.12659,5,4.10769,3.81646,
1.03146,0.13342,5,4.10809,3.83239,
1.03781,0.13977,5,4.12754,3.83003,
1.04468,0.13977,5,4.12757,3.83289,
1.0513,0.13977,5,4.12576,3.84925,
1.05869,0.13977,5,4.10181,3.83118,
1.06525,0.02057,6,4.11808,3.83086,
1.07144,0.02676,6,4.15105,3.88654,
1.07874,0.03406,6,4.14574,3.84284,
1.0849,0.04022,6,4.14089,3.85654,
1.09113,0.04645,6,4.10864,3.82183,
1.09818,0.0535,6,4.12059,3.82833,
1.10535,0.06067,6,4.12177,3.82828,
1.11176,0.06708,6,4.12264,3.83147,
1.11844,0.07376,6,4.13617,3.86014,
1.12616,0.08148,6,4.15852,3.86368,
1.13208,0.0874,6,4.17192,3.86747,
1.13879,0.09412,6,4.16753,3.88732,
1.14517,0.10049,6,4.17575,3.88522,
1.1532,0.10852,6,4.18246,3.87878,
1.159,0.11432,6,4.17477,3.86645,
1.16556,0.12088,6,4.20612,3.88545,
1.17239,0.12772,6,4.17472,3.88651,
1.17896,0.13428,6,4.17078,3.88054,
1.18539,0.14072,6,4.17139,3.88062,
1.19269,0.14801,6,4.1864,3.89634,
1.19904,0.15436,6,4.18367,3.89946,
1.20596,0.16129,6,4.19803,3.90736,
1.21219,0.16751,6,4.20365,3.90571,
1.21939,0.17471,6,4.20516,3.9461,
1.22607,0.1814,6,4.20991,3.93962,
1.23254,0.18787,6,4.2324,3.91499,
1.24005,0.19537,6,4.22586,3.92286,
1.24564,0.20096,6,4.23965,3.92052,
1.25241,0.20773,6,4.21668,3.9367,
1.25958,0.2149,6,4.23807,3.93734,
1.26627,0.22159,6,4.22736,3.94812,
1.27313,0.22845,6,4.24044,3.9289,
1.27921,0.23453,6,4.24698,3.92659,
1.28629,0.24161,6,4.26609,3.92657,
1.29236,0.24768,6,4.83047,3.91375,
1.29919,0.24768,6,4.52889,3.85854,
1.30603,0.24768,6,4.46298,3.91419,
1.31274,0.24768,6,4.29889,4.12285,
1.31961,0.24768,6,4.40363,3.94619,
1.32632,0.24768,6,4.38851,3.82804,
1.33304,0.24768,6,4.40098,3.76969,
1.33969,0.24768,6,4.45298,3.79859,
1.34622,0.24768,6,4.32885,3.83221,
1.35419,0.24768,6,4.28726,3.89993,
1.35953,0.01984,7,4.3615,3.91187,
1.36633,0.02664,7,4.36728,3.99099,
1.37335,0.03366,7,4.38168,4.00815,
1.37961,0.03992,7,4.37871,3.99274,
1.38675,0.04706,7,4.35065,4.02899,
1.39343,0.05374,7,4.29268,3.97615,
1.39972,0.06003,7,4.28906,3.95735,
1.40646,0.06677,7,4.31893,3.9703,
1.41354,0.07385,7,4.39224,3.93415,
1.42029,0.0806,7,4.42529,3.91854,
1.42694,0.08725,7,4.3898,3.90133,
1.43353,0.09384,7,4.38565,3.97592,
1.44034,0.10065,7,4.414,3.95759,
1.44675,0.10706,7,4.41301,3.9895,
1.4538,0.11411,7,4.39718,3.9848,
1.46063,0.12094,7,4.36412,3.97081,
1.46664,0.12695,7,4.33309,3.9549,
1.47345,0.13376,7,4.35097,3.91987,
1.48019,0.1405,7,4.3693,3.91764,
1.48724,0.14755,7,4.3548,3.91858,
1.49368,0.15399,7,4.35714,3.93199,
1.50052,0.15399,7,4.356,3.94981,
1.5072,0.15399,7,4.35341,3.92929,
1.51355,0.15399,7,4.37568,4.00339,
1.52072,0.0202,8,4.34948,4.00247,
1.52753,0.02701,8,4.37105,3.96017,
1.53412,0.0336,8,4.42289,3.93268,
1.54041,0.03989,8,4.40099,3.95094,
1.54752,0.047,8,4.37844,3.95528,
1.55414,0.05362,8,4.36926,3.95104,
1.56091,0.06039,8,4.37186,3.93661,
1.56726,0.06674,8,4.3577,3.95172,
1.57391,0.07339,8,4.32758,4.00653,
1.58072,0.0802,8,4.32013,4.0069,
1.58771,0.08719,8,4.3867,3.98836,
1.59439,0.09387,8,4.44952,3.941,
1.60092,0.1004,8,4.44138,3.93582,
1.60791,0.10739,8,4.44184,3.91911,
1.61459,0.11407,8,4.36441,3.91138,
1.6207,0.12018,8,4.37277,3.90203,
1.62775,0.12723,8,4.36053,3.88876,
1.63458,0.13406,8,4.33099,3.95491,
1.64114,0.13406,8,4.33968,3.94764,
1.64786,0.13406,8,4.32027,3.93051,
1.65469,0.13406,8,4.34229,3.9049,
1.66113,0.01999,9,4.36099,3.90936,
1.66812,0.02698,9,4.36095,3.90409,
1.67453,0.03339,9,4.35592,3.9394,
1.68106,0.03992,9,4.32589,3.92221,
1.68799,0.04684,9,4.31848,3.90509,
1.69452,0.05338,9,4.30461,3.85915,
1.7019,0.06076,9,4.30968,3.82137,
1.70828,0.06714,9,4.32033,3.82371,
1.71457,0.07343,9,4.30889,3.9076,
1.72174,0.0806,9,4.4325,3.90411,
1.72806,0.08691,9,4.32505,3.90758,
1.73459,0.09344,9,4.33157,3.91074,
1.74179,0.10065,9,4.30776,3.94882,
1.74826,0.10712,9,4.35304,3.9016,
