TIME(2023/11/07 09:45:11.918),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.16730,0.16729,1,3.91643,4.09673,,
0.51596,0.34137,2,3.95912,3.78358,,
0.65652,0.13266,3,4.41187,3.81635,,
0.87079,0.18759,4,4.09768,3.78403,,
1.03781,0.13977,5,4.12754,3.83003,,
1.29236,0.24768,6,4.83047,3.91375,,
1.49368,0.15399,7,4.35714,3.93199,,
1.63458,0.13406,8,4.33099,3.95491,,
1.90240,0.26126,9,4.22678,3.79294,,
2.35806,0.44922,10,4.27511,3.79214,,
2.90112,0.53653,11,4.40417,3.98969,,
3.42960,0.52277,12,3.54659,3.38087,,
3.65741,0.22107,13,3.53396,3.14761,,
3.81137,0.14749,14,3.48218,2.91417,,
3.98526,0.14679,15,3.90243,2.96695,,
4.07291,0.08072,16,3.13704,2.98115,,
4.20667,0.10742,17,3.22614,3.17252,,
4.35416,0.14114,18,3.38660,3.22926,,
4.57504,0.21411,19,3.57274,3.49694,,
4.66867,0.08682,20,3.99331,3.59310,,
4.85663,0.16086,21,3.94878,3.84603,ST-Full,
4.97668,0.11346,22,3.92360,3.74940,ST-Full-W4,
5.17139,0.16742,23,4.02058,3.88529,ST-TT-Full,
5.55325,0.35538,24,4.04027,3.85820,TT-Full,
5.94836,0.36871,25,4.10070,3.79322,TT-Full,
6.22308,0.26804,26,4.30701,3.83771,TT-Full,
6.55780,0.32812,27,4.22404,3.91738,TT-Full,
6.97989,0.35510,28,4.27501,3.95736,ST-Full-W16,
7.28134,0.25476,29,4.09918,4.21906,ST-Full-W1-W10,
7.84366,0.55600,30,4.14753,4.13914,ST-Full-W1-W10,
8.07141,0.22107,31,4.08536,3.72808,ST-Full-W1,
8.35986,0.28143,32,4.51315,4.20718,ST-Full-W1-W10,
8.51395,0.14746,33,4.51414,4.19614,ST-Full-W1,
8.62057,0.10001,34,4.42093,4.21561,ST-Full-W1,
8.74158,0.11377,35,4.34102,4.36604,ST-Full-W1,
8.90906,0.16071,36,4.57966,4.14842,ST-Full-W1,
9.28357,0.36774,37,4.50780,4.20763,ST-Full-W1,
9.86020,0.56952,38,4.26768,4.18125,ST-Full-W2,
10.23535,0.36914,39,4.24692,4.02438,ST-Full-W2,
10.36224,0.12033,40,4.23234,3.91759,ST-Full-W2,
10.67743,0.30859,41,4.31195,4.19121,ST-W3 (N)-Full,
10.93872,0.25461,42,4.10072,3.98279,ST-W3 (N)-Full,
11.16617,0.22067,43,4.29986,4.14154,ST-W3 (N)-Full,
11.74255,0.56964,44,4.22789,4.20580,ST-W3 (N)-Full,
12.05731,0.30807,45,4.07969,3.99430,ST-W3 (N)-Full,
12.35150,0.26746,46,4.13550,4.01970,ST-Full,
12.74060,0.38229,47,4.18300,4.25271,ST-Full,
13.03494,0.26776,48,4.48107,3.79943,ST-Full-W7,
13.16205,0.09995,49,4.49945,3.78460,ST-Full,
13.26956,0.10028,50,4.40305,3.77261,ST-Full-W8,
13.52423,0.24838,51,4.37017,3.74571,ST-Full-W7,
13.81204,0.28113,52,4.13702,4.11309,ST-Full-W7,
14.03333,0.15430,53,4.33138,3.93560,ST-Full-W12,
14.12717,0.08731,54,4.04466,4.03470,ST-Full-W11-W12,
14.22049,0.02667,55,1.09834,3.93316,,
14.49548,0.22800,56,4.22477,4.05227,ST-Full-W10,
14.78354,0.28137,57,4.09062,4.13788,ST-Full-W10,
14.95767,0.14752,58,4.03507,4.21037,Full-W1,
15.09171,0.12753,59,3.77179,3.82626,ST-Full-W1,
15.90213,0.60037,60,3.96568,4.37700,ST-Full-W1-W10,
16.18362,0.27533,61,3.99369,4.20106,ST-Full-W1,
16.35046,0.16092,62,4.09965,4.29441,ST-Full-W1,
16.81992,0.46246,63,4.13642,4.11101,ST-Full-W1-W10,
17.10785,0.28131,64,4.02181,4.11622,ST-Full-W1-W10,
17.35577,0.24121,65,3.93263,4.03293,ST-Full-W1,
17.82413,0.46170,66,4.31076,4.04188,ST-Full-W1,
18.03223,0.20132,67,4.30361,4.05495,ST-Full-W1,
18.13269,0.09375,68,4.37850,4.20506,ST-Full,
18.51389,0.37509,69,4.34153,4.22292,ST-Full-W2,
18.79562,0.27426,70,4.30675,4.01471,ST-Full-W1-W2,
19.11740,0.31482,71,4.32956,4.09065,ST-Full-W2,
19.70667,0.58279,72,4.10617,3.93033,ST-Full-W2,
19.90784,0.19476,73,4.36672,3.93395,ST-Full-W2,
20.17572,0.26169,74,4.27260,3.89248,ST-Full-W2,
20.42368,0.24121,75,4.26939,3.91166,ST-W3 (N)-Full-W14,
20.93933,0.50900,76,4.23103,3.55437,ST-W3 (N)-Full,
21.37421,0.42816,77,4.26238,3.59632,ST-W3 (N)-Full-W2,
21.61606,0.23477,78,4.19973,3.82074,ST-W3 (N)-Full,
22.89490,1.27246,79,4.12792,3.81139,ST-W3 (N)-Full,
23.18332,0.28174,80,4.14522,3.88437,ST-W3 (N)-Full,
23.33694,0.14688,81,4.14293,3.98218,ST-W3 (N)-Full,
23.54504,0.20135,82,4.42150,3.93462,ST-W3 (N)-Full,
23.66541,0.11438,83,4.37893,3.92263,ST-W3 (N)-Full,
23.85315,0.18137,84,4.36052,3.95116,ST-Full-W16,
24.12784,0.26794,85,4.27807,3.79771,ST-W3 (N)-Full,
24.52969,0.39539,86,4.23839,3.97827,ST-W3 (N)-Full,
24.65036,0.11438,87,4.36018,3.87974,ST-W3 (N)-Full,
24.83780,0.18155,88,4.25929,3.98071,ST-Full-W4,
25.09201,0.24750,89,4.40538,3.74639,ST-W3 (N)-Full,
25.31982,0.20071,90,4.24335,4.12231,Full,
25.65454,0.26752,91,4.30309,3.81278,ST-Full-W4,
26.08997,0.42810,92,4.23990,3.90857,ST-Full,
26.19711,0.10037,93,4.21136,4.08319,ST-Full-W5,
26.33823,0.13437,94,4.22394,3.94481,ST-Full,
26.49902,0.13391,95,4.29480,3.84607,ST-Full-W4,
26.78705,0.28134,96,4.34922,3.86917,ST-W3 (N)-Full-W4,
26.99442,0.20123,97,4.28018,3.91878,ST-Full-W5,
27.10184,0.10043,98,4.21416,3.80585,ST-Full-W5,
27.26242,0.15390,99,4.15955,3.87777,ST-Full-W5,
27.41626,0.14697,100,4.25405,3.76252,ST-Full,
27.63077,0.20779,101,4.23340,3.79392,ST-Full-W4,
27.99277,0.35544,102,4.14302,3.97336,ST-Full-W4-W5,
28.23389,0.23438,103,4.21101,3.77149,ST-Full-W5,
28.58215,0.34152,104,4.16545,3.92226,ST-Full-W5,
28.91022,0.32129,105,4.22073,4.06754,ST-Full-W5,
29.15784,0.24075,106,4.27252,3.97238,ST-Full-W5,
29.26541,0.10059,107,4.31178,4.00008,ST-Full-W5,
29.55350,0.28186,108,4.24668,3.88581,ST-Full-W6,
29.84137,0.28116,109,4.14555,4.06988,ST-Full-W6,
30.21634,0.36810,110,4.30977,4.01558,ST-Full-W6,
30.59833,0.37503,111,4.33750,3.68876,ST-Full-W6,
30.75201,0.14743,112,4.33718,3.68368,ST-Full-W6,
30.87976,0.12079,113,4.42693,3.69307,ST-Full-W7,
31.29510,0.40869,114,4.51196,3.73593,ST-Full-W7,
31.52948,0.22824,115,4.49529,3.67828,ST-Full-W7,
31.85748,0.32150,116,4.80930,3.80247,ST-Full-W7,
31.98502,0.10077,117,4.65257,3.83537,TT-Full,
32.09845,0.02676,118,4.73952,3.83418,,
32.18600,0.04071,119,4.39496,2.00906,Full,
32.35971,0.14697,120,4.23304,3.83649,ST-Full,
32.45389,0.08707,121,4.81054,2.11562,ST-Full,
32.56784,0.08768,122,4.39143,1.49520,Full,
32.77524,0.08084,123,4.51165,1.81742,,
32.92926,0.08734,124,4.89883,3.89704,,
33.16397,0.22800,125,4.60842,3.92468,ST-Full-W8,
33.47879,0.30869,126,4.81694,3.96686,ST-Full-W8,
33.62607,0.10043,127,5.06594,3.91088,,
33.72662,0.09387,128,4.83620,3.95616,ST-Full,
33.85388,0.08044,129,4.94811,1.92691,ST-Full,
33.96710,0.08688,130,4.53733,1.74147,Full,
34.05453,0.08026,131,4.55317,1.83982,TT-Full,
34.30911,0.16724,132,4.36071,3.92209,ST-Full-W14,
34.54376,0.20755,133,4.62343,4.00428,ST-Full-W10,
34.57697,0.02695,134,1.25328,4.16709,,
34.69116,0.08694,135,1.28449,4.08669,TT-Full,
34.79797,0.10016,136,4.58305,3.98128,TT-Full,
34.94559,0.02060,137,4.36823,3.92941,,
35.01282,0.02075,138,4.62102,3.97768,,
35.30743,0.26852,139,4.22870,3.74505,ST-Full-W10-W11,
35.52811,0.21466,140,4.36230,3.94622,ST-Full-W12,
35.80307,0.26810,141,4.11051,3.91384,ST-Full-W10,
35.97678,0.16769,142,3.46057,3.76076,ST-Full-W12,
36.49966,0.31381,143,4.30268,3.88028,ST-Full-W12,
36.75381,0.24747,144,4.19969,3.79256,ST-Full-W11,
37.29663,0.53610,145,4.18441,3.84103,ST-Full-W11-W12,
37.72556,0.42221,146,4.28079,3.88245,ST-Full-W11,
37.93320,0.20139,147,4.13435,3.77023,ST-Full-W11-W12,
38.43546,0.49588,148,4.03005,3.75064,ST-Full-W12-W13,
38.81021,0.36789,149,4.11704,3.70148,ST-Full-W14,
39.39325,0.57635,150,4.07357,3.74560,ST-Full-W13-W14,
39.86203,0.46255,151,4.14535,3.92305,ST-Full-W14,
40.04944,0.18048,152,4.04687,3.83823,ST-Full-W14,
40.73306,0.67648,153,4.11460,3.75873,ST-Full-W15,
