TIME(2023/11/07 14:19:01.171),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.00000,0.00001,1,5.57273,5.68267,,
0.00728,0.00728,1,5.54163,5.69907,,
0.01377,0.01377,1,5.54555,5.71506,,
0.02021,0.02021,1,5.55689,5.71872,,
0.02673,0.02673,1,5.57503,5.71288,,
0.03356,0.03356,1,5.58905,5.74497,,
0.04013,0.04013,1,5.57966,5.75367,,
0.04685,0.04685,1,5.59233,5.73238,,
0.05475,0.05475,1,5.58298,5.72095,,
0.06051,0.06051,1,5.56598,5.76743,,
0.06716,0.06716,1,5.58032,5.78456,,
0.07409,0.07409,1,5.61238,5.77013,,
0.08108,0.08108,1,5.59781,5.73206,,
0.08724,0.08724,1,5.62362,5.74503,,
0.09442,0.09443,1,5.60620,5.74308,,
0.10040,0.10040,1,5.63126,5.77001,,
0.10818,0.10818,1,5.64004,5.72572,,
0.11402,0.11403,1,5.85141,5.79315,,
0.12081,0.12081,1,6.18423,6.13871,,
0.12800,0.12800,1,6.05907,6.06239,,
0.13434,0.12800,1,5.96407,5.77475,,
0.14112,0.12800,1,6.06778,5.68497,,
0.14741,0.12800,1,5.97315,5.68681,,
0.15474,0.12800,1,5.87776,5.69414,,
0.16132,0.12800,1,5.87935,5.71847,,
0.16762,0.12800,1,5.92257,5.74929,,
0.17435,0.01962,2,5.81690,5.58223,,
0.18096,0.02622,2,5.82401,5.65471,,
0.18824,0.03350,2,5.85236,5.68139,,
0.19416,0.03942,2,5.84856,5.52255,,
0.20162,0.04689,2,5.85654,5.67287,,
0.20808,0.05334,2,5.82514,5.67810,,
0.21522,0.06048,2,5.85907,5.66754,,
0.22173,0.06699,2,5.88289,5.69938,,
0.22843,0.07370,2,5.88450,5.69355,,
0.23510,0.08036,2,5.87380,5.65603,,
0.24107,0.08633,2,5.88599,5.68796,,
0.24851,0.09377,2,5.88045,5.68817,,
0.25507,0.10033,2,5.87211,5.65146,,
0.26210,0.10736,2,5.84332,5.61308,,
0.26835,0.11361,2,5.84567,5.62166,,
0.27505,0.12031,2,5.85358,5.70102,,
0.28149,0.12675,2,5.85361,5.66354,,
0.28792,0.13319,2,5.87364,5.65927,,
0.29490,0.14016,2,5.87416,5.74556,,
0.30205,0.14732,2,5.85874,5.72879,,
0.30867,0.15393,2,5.86808,5.73666,,
0.31539,0.16065,2,5.90371,5.69329,,
0.32169,0.16695,2,5.87652,5.69234,,
0.32830,0.17356,2,5.87798,5.68952,,
0.33575,0.18102,2,5.86840,5.75909,,
0.34179,0.18705,2,5.87617,5.60023,,
0.34874,0.19400,2,5.87650,5.58564,,
0.35583,0.20109,2,5.85268,5.59958,,
0.36234,0.20760,2,5.90057,5.59409,,
0.36886,0.21412,2,5.88079,5.67354,,
0.37548,0.22074,2,5.86320,5.62644,,
0.38196,0.22722,2,5.87974,5.61666,,
0.38848,0.23374,2,5.88669,5.66515,,
0.39530,0.24056,2,5.85860,5.68729,,
0.40206,0.24732,2,5.86932,5.76437,,
0.40896,0.25422,2,5.85960,5.74697,,
0.41599,0.26125,2,5.88407,5.58486,,
0.42250,0.26776,2,5.90828,5.59738,,
0.42905,0.27431,2,5.87887,5.58825,,
0.43548,0.28074,2,5.91409,5.64843,,
0.44240,0.28767,2,5.91771,5.61656,,
0.44906,0.29432,2,5.90933,5.57323,,
0.45631,0.30157,2,5.91601,5.75270,,
0.46261,0.30788,2,5.92326,5.72794,,
0.46942,0.31469,2,5.89701,5.66622,,
0.47602,0.32128,2,5.93287,5.70056,,
0.48245,0.32771,2,5.92525,5.69719,,
0.48944,0.33470,2,5.91200,5.70595,,
0.49589,0.34115,2,5.91395,5.78327,,
0.50283,0.34809,2,5.91041,5.74745,,
0.50901,0.35427,2,5.97690,5.78112,,
0.51625,0.36151,2,5.91846,5.74731,,
0.52290,0.36816,2,5.91461,5.79670,,
0.52978,0.37505,2,5.95222,5.74645,,
0.53654,0.38180,2,5.94094,5.62132,,
0.54280,0.38806,2,5.90073,5.68067,,
0.54999,0.39525,2,5.91341,5.68419,,
0.55619,0.40145,2,5.90992,5.60970,,
0.56308,0.40834,2,5.91640,5.62590,,
0.56962,0.40834,2,5.91665,5.60700,,
0.57657,0.40834,2,5.89498,5.61405,,
0.58366,0.40834,2,5.87984,5.64532,,
0.58977,0.02015,3,5.91886,5.62402,,
0.59669,0.02707,3,5.91839,5.82469,,
0.60344,0.03381,3,5.92061,5.78143,,
0.60963,0.04000,3,5.91776,5.74187,,
0.61595,0.04632,3,5.91566,5.74025,,
0.62361,0.05399,3,5.91597,5.59769,,
0.63049,0.06087,3,5.93940,5.61647,,
0.63671,0.06709,3,5.95798,5.58381,,
0.64386,0.07424,3,6.14521,5.59091,,
0.64990,0.08028,3,6.07607,5.67492,,
0.65651,0.08688,3,5.89240,5.29349,,
0.66362,0.09399,3,5.68060,4.31698,,
0.67069,0.09399,3,5.54022,4.31698,,
0.67695,0.09399,3,5.54022,4.31698,,
0.68354,0.09399,3,5.54022,4.31698,,
0.69040,0.09399,3,5.54022,4.31698,,
0.69663,0.09399,3,5.54022,4.31698,,
0.70393,0.09399,3,5.54022,4.31698,,
0.71287,0.09399,3,5.54022,4.31698,,
0.71836,0.09399,3,5.54022,4.31698,,
0.72515,0.09399,3,5.54022,4.31698,,
0.73058,0.09399,3,5.54022,4.31698,,
0.73748,0.09399,3,5.54022,4.31698,,
0.74419,0.09399,3,5.54022,4.31698,,
0.75094,0.09399,3,5.54022,4.31698,,
0.75733,0.09399,3,5.54022,4.31698,,
0.76628,0.09399,3,5.54022,4.31698,,
0.77127,0.09399,3,5.54022,4.31698,,
0.77754,0.09399,3,5.80021,4.31698,,
0.78393,0.09399,3,5.77123,4.31698,,
0.79062,0.09399,3,5.71675,4.31698,,
0.79709,0.09399,3,5.70131,4.31698,,
0.80445,0.09399,3,5.74366,6.73952,,
0.81074,0.02012,4,5.72594,6.60009,,
0.81729,0.02668,4,5.71876,6.65707,,
0.82403,0.03341,4,5.72366,6.79140,,
0.83072,0.04010,4,5.69172,6.74532,,
0.83745,0.04683,4,5.63691,6.73444,,
0.84418,0.05356,4,5.65292,6.56850,,
0.85061,0.05999,4,5.72027,6.49664,,
0.85771,0.06709,4,5.65203,6.81562,,
0.86486,0.07424,4,5.64167,6.72511,,
0.87073,0.08012,4,5.62217,6.68156,,
0.87803,0.08741,4,5.61545,6.71040,,
0.88485,0.09423,4,5.57327,6.72793,,
0.89155,0.10093,4,5.61011,6.65542,,
0.89809,0.10747,4,5.58366,6.67082,,
0.90475,0.11414,4,5.56942,6.64301,,
0.91172,0.12110,4,5.56266,6.54055,,
0.91777,0.12715,4,5.56826,6.70105,,
0.92462,0.13400,4,5.55562,6.70318,,
0.93119,0.14058,4,5.55690,6.70893,,
0.93795,0.14733,4,5.54844,6.70749,,
0.94471,0.15409,4,5.54647,6.78485,,
0.95167,0.16105,4,5.56075,6.78462,,
0.95837,0.16776,4,5.52356,6.65456,,
0.96528,0.17467,4,5.56632,6.72034,,
0.97199,0.17467,4,5.54047,6.70848,,
0.97814,0.17467,4,5.54546,6.72176,,
0.98530,0.17467,4,5.54534,6.58265,,
0.99198,0.02000,5,5.54842,6.66188,,
0.99836,0.02637,5,5.55033,6.37756,,
1.00548,0.03350,5,5.54084,6.42462,,
1.01223,0.04025,5,5.54947,6.42070,,
1.01872,0.04674,5,5.55588,6.42041,,
1.02499,0.05301,5,5.52857,6.44879,,
1.03148,0.05949,5,5.57005,6.40913,,
1.03879,0.06680,5,5.60914,6.54653,,
1.04508,0.07309,5,5.59275,6.48584,,
1.05179,0.07980,5,5.56843,6.50632,,
1.05879,0.08680,5,5.57636,6.67589,,
1.06518,0.09319,5,5.57286,6.57224,,
1.07249,0.10051,5,5.56012,6.57151,,
1.07915,0.10716,5,5.56770,6.60399,,
1.08528,0.11329,5,5.56982,6.72739,,
1.09197,0.11998,5,5.58064,6.74958,,
1.09867,0.12668,5,5.65303,6.82997,,
1.10577,0.12668,5,5.65336,6.81091,,
1.11186,0.12668,5,5.61718,6.81072,,
1.11960,0.12668,5,5.58772,6.86422,,
1.12601,0.02024,6,5.61128,6.86201,,
1.13241,0.02664,6,5.60533,6.85256,,
1.13903,0.03326,6,5.60367,6.75753,,
1.14556,0.03978,6,5.59273,6.76294,,
1.15224,0.04646,6,5.61525,6.78490,,
1.15921,0.05344,6,5.62511,6.87608,,
1.16626,0.06049,6,5.62122,6.85447,,
1.17277,0.06699,6,5.62452,6.81175,,
1.17955,0.07378,6,5.61919,6.86005,,
1.18656,0.08078,6,5.61665,6.80562,,
1.19253,0.08675,6,5.61842,6.84922,,
1.19925,0.09348,6,5.58936,6.87736,,
1.20638,0.10061,6,5.58268,6.95058,,
1.21321,0.10744,6,5.58589,6.94499,,
1.21974,0.11397,6,5.65027,6.89453,,
1.22644,0.12067,6,5.62150,6.90602,,
1.23325,0.12748,6,5.63450,6.90586,,
1.23966,0.13388,6,5.66168,6.73984,,
1.24669,0.14091,6,5.65277,6.62688,,
1.25281,0.14703,6,5.57396,6.64139,,
1.25948,0.15371,6,5.55392,6.65570,,
1.26633,0.16056,6,5.53971,6.92347,,
1.27282,0.16705,6,5.53706,6.63182,,
1.28005,0.17428,6,5.48339,6.75700,,
1.28668,0.18090,6,5.53370,6.82753,,
1.29294,0.18717,6,5.51270,6.86159,,
1.29983,0.19406,6,5.47301,5.45014,,
1.30688,0.20110,6,5.44237,5.42752,,
1.31338,0.20760,6,5.46334,5.44595,,
1.31999,0.21422,6,5.42894,5.44158,,
1.32661,0.22084,6,5.42860,5.43235,,
1.33327,0.22750,6,5.39916,5.43346,,
1.34058,0.23481,6,5.47614,5.38405,,
1.34685,0.24108,6,5.44151,5.39387,,
1.35314,0.24736,6,5.46142,5.37572,,
1.36310,0.25733,6,5.41302,5.35793,,
1.36971,0.26394,6,5.39489,5.35658,,
1.37316,0.26739,6,5.37643,5.33730,,
1.38003,0.27425,6,5.35082,5.33448,,
1.38782,0.28205,6,5.32061,5.34152,,
1.39336,0.28759,6,5.29398,5.32314,,
1.39970,0.29393,6,5.29207,5.30089,,
1.40710,0.30133,6,5.30546,5.29760,,
1.41330,0.30753,6,5.32324,5.26475,,
1.42003,0.31426,6,5.31933,5.27548,,
1.42678,0.32100,6,5.32256,5.27250,,
1.43389,0.32812,6,5.30844,5.26075,,
1.44023,0.33445,6,5.26018,5.25135,,
1.44717,0.34140,6,5.30532,5.22156,,
1.45405,0.34828,6,5.25160,5.21843,,
1.46077,0.35500,6,5.27353,5.21883,,
1.46813,0.36235,6,5.27425,5.21644,,
1.47432,0.36855,6,5.28033,5.21081,,
1.48043,0.37465,6,5.26062,5.23704,,
1.48718,0.38141,6,5.27190,5.16808,,
1.49384,0.38807,6,5.23181,5.09316,,
1.50215,0.39637,6,5.21751,5.32269,,
1.50767,0.40189,6,5.19276,6.46125,,
1.51432,0.40855,6,5.20043,6.34329,,
1.52105,0.40855,6,5.24707,5.30245,,
1.52780,0.40855,6,5.19222,6.23131,,
1.53445,0.40855,6,5.21049,6.28901,,
1.54097,0.01992,7,5.23644,6.39063,,
1.54731,0.02626,7,5.22982,6.42063,,
1.55468,0.03363,7,5.19371,6.32081,,
1.56142,0.04036,7,5.24168,6.39314,,
1.56786,0.04681,7,5.23697,6.36746,,
1.57480,0.05375,7,5.17693,6.36691,,
1.58111,0.06006,7,5.25319,6.52924,,
1.58746,0.06641,7,5.18435,6.56085,,
1.59444,0.07338,7,5.25853,6.55861,,
1.60129,0.08023,7,5.28056,6.41309,,
1.60805,0.08699,7,5.17032,6.24529,,
1.61425,0.09320,7,5.15373,6.27208,,
1.62329,0.10224,7,5.14913,6.22670,,
1.62837,0.10732,7,5.14835,6.39122,,
1.63481,0.11376,7,5.22503,6.04297,,
1.64105,0.12000,7,5.28057,5.13995,,
1.64821,0.12716,7,5.35472,5.37829,,
1.65470,0.13365,7,5.27070,5.12472,,
1.66182,0.13365,7,5.17061,5.19326,,
1.66867,0.13365,7,5.22145,5.19029,,
1.67534,0.13365,7,5.24265,5.10795,,
1.68165,0.13365,7,5.18394,5.14162,,
1.68794,0.13365,7,5.19107,5.16131,,
1.69483,0.13365,7,5.20658,5.25632,,
1.70153,0.01987,8,5.15495,5.20432,,
1.70819,0.02654,8,5.04228,5.15682,,
1.71508,0.03342,8,5.03190,5.21644,,
1.72214,0.04049,8,5.00006,5.12249,,
1.72885,0.04720,8,4.99474,5.17755,,
1.73549,0.05384,8,4.99303,5.20581,,
1.74238,0.06073,8,5.01116,5.07097,,
1.74847,0.06682,8,4.94738,5.22786,,
1.75556,0.07391,8,4.97736,5.09119,,
1.76245,0.08080,8,5.04668,5.26270,,
1.76914,0.08749,8,5.02444,5.30172,,
1.77573,0.09408,8,5.04667,5.29638,,
1.78214,0.10049,8,5.07093,5.35203,,
1.78955,0.10790,8,5.06070,5.35511,,
1.79579,0.11414,8,5.07486,5.35528,,
1.80208,0.12043,8,5.00272,5.27753,,
1.80878,0.12043,8,5.02914,5.36716,,
1.81549,0.12043,8,5.06075,5.31843,,
1.82269,0.12043,8,5.07729,5.23343,,
1.82950,0.02071,9,5.06427,5.19055,,
1.83604,0.02726,9,5.08538,5.20410,,
1.84272,0.03394,9,5.09937,5.24824,,
1.84899,0.04021,9,5.10274,5.22873,,
1.85617,0.04739,9,5.05277,5.31493,,
1.86281,0.05403,9,5.07696,5.34352,,
1.86948,0.06070,9,5.07202,5.41291,,
1.87621,0.06742,9,5.08744,5.42480,,
1.88281,0.07403,9,5.09874,5.45168,,
1.88966,0.08088,9,5.12895,5.39778,,
1.89575,0.08696,9,5.12653,5.40885,,
1.90254,0.09376,9,5.11441,5.46924,,
1.90950,0.10072,9,5.17353,5.48834,,
1.91605,0.10727,9,5.16113,5.52343,,
1.92255,0.11377,9,5.24092,5.07022,,
1.92970,0.12092,9,5.21371,5.14330,,
1.93650,0.12772,9,5.23914,5.11581,,
1.94297,0.12772,9,5.19101,5.36609,,
1.94950,0.12772,9,5.21627,5.40462,,
1.95652,0.12772,9,5.20391,5.40965,,
1.96296,0.01999,10,5.24324,5.40074,,
1.96982,0.02686,10,5.24324,5.57592,,
1.97648,0.03351,10,5.23579,5.58952,,
1.98295,0.03998,10,5.26548,5.60429,,
1.98975,0.04678,10,5.26817,5.67899,,
1.99648,0.05351,10,5.28594,5.69759,,
2.00294,0.05997,10,5.32733,5.67903,,
2.00967,0.06670,10,5.35022,5.68605,,
2.01634,0.07337,10,5.31309,5.71456,,
2.02288,0.07991,10,5.33067,5.70829,,
2.02966,0.08669,10,5.33208,5.69693,,
2.03673,0.09376,10,5.32794,5.70603,,
2.04365,0.10068,10,5.34171,5.64177,,
2.05057,0.10760,10,5.32485,5.68273,,
2.05685,0.11388,10,5.32940,5.68318,,
2.06358,0.12061,10,5.35832,5.66756,,
2.07046,0.12749,10,5.36451,5.66764,,
2.07702,0.13405,10,5.39288,5.68562,,
2.08390,0.14093,10,5.37830,5.61048,,
2.09051,0.14754,10,5.37784,5.62083,,
2.09704,0.15407,10,5.40366,5.73017,,
2.10388,0.16091,10,5.40132,5.47956,,
2.11056,0.16759,10,5.40234,5.45427,,
2.11685,0.17388,10,5.41310,5.44877,,
2.12384,0.18087,10,5.39788,5.60142,,
2.13031,0.18734,10,5.49041,5.48959,,
2.13722,0.19426,10,5.42777,5.52197,,
2.14414,0.20118,10,5.43604,5.54851,,
2.15084,0.20787,10,5.44446,5.61116,,
2.15766,0.21469,10,5.53644,5.62222,,
2.16426,0.22129,10,5.53332,5.58487,,
2.17085,0.22788,10,5.49432,5.63051,,
2.17763,0.23466,10,5.42220,5.58863,,
2.18437,0.24140,10,5.35657,5.38176,,
2.19110,0.24813,10,5.34030,5.38879,,
2.19758,0.25462,10,5.32068,5.37813,,
2.20440,0.26143,10,5.31642,5.45517,,
2.21112,0.26815,10,5.31185,5.47526,,
2.21751,0.26815,10,5.34648,5.47961,,
2.22417,0.26815,10,5.36750,5.46751,,
2.23132,0.26815,10,5.35367,5.50602,,
2.23788,0.02037,11,5.34168,5.52294,,
2.24419,0.02668,11,5.32617,5.38322,,
2.25080,0.03329,11,5.33465,5.37668,,
2.25823,0.04072,11,5.34150,5.36218,,
2.26448,0.04697,11,5.34435,5.35728,,
2.27080,0.05330,11,5.35679,5.42004,,
2.27804,0.06054,11,5.31441,5.42900,,
2.28429,0.06678,11,5.31217,5.34453,,
2.29141,0.07390,11,5.32280,5.20385,,
2.29794,0.08043,11,5.33847,5.22850,,
2.30470,0.08719,11,5.31894,5.21892,,
2.31170,0.09419,11,5.36847,5.22093,,
2.31835,0.10084,11,5.31912,5.21003,,
2.32480,0.10730,11,5.33164,5.63974,,
2.33142,0.11391,11,5.35185,5.22727,,
2.33886,0.12135,11,5.33587,5.22838,,
2.34543,0.12793,11,5.31615,5.45128,,
2.35136,0.13385,11,5.37915,5.57167,,
2.35801,0.14050,11,5.33618,5.57304,,
2.36508,0.14757,11,5.30803,5.57330,,
2.37195,0.15444,11,5.32797,5.56319,,
2.37790,0.16039,11,5.30253,5.57639,,
2.38529,0.16778,11,5.32307,5.63442,,
2.39203,0.17452,11,5.35255,5.58406,,
2.39845,0.18094,11,5.30303,5.56379,,
2.40533,0.18782,11,5.24743,5.54380,,
2.41206,0.19455,11,5.28034,5.53290,,
2.41879,0.20128,11,5.25622,5.47063,,
2.42546,0.20795,11,5.25691,5.18914,,
2.43217,0.21466,11,5.24181,5.23984,,
2.43846,0.22095,11,5.24941,5.19288,,
2.44548,0.22797,11,5.25600,5.17721,,
2.45181,0.23430,11,5.30171,5.11604,,
2.45848,0.24097,11,5.37051,5.26992,,
2.46526,0.24097,11,4.25164,4.49557,,
2.47179,0.24097,11,4.25164,1.95212,,
2.47906,0.24097,11,4.25164,1.51264,,
2.48480,0.24097,11,4.25164,1.51264,,
2.49256,0.24097,11,4.25164,1.51264,,
2.49888,0.24097,11,4.25164,1.51264,,
2.50577,0.24097,11,4.25164,1.51264,,
2.51253,0.24097,11,4.25164,1.51264,,
2.51926,0.24097,11,4.25164,1.51264,,
2.52587,0.24097,11,4.25164,1.51264,,
2.53263,0.24097,11,4.25164,1.51264,,
2.53935,0.24097,11,4.25164,1.51264,,
2.54595,0.24097,11,4.25164,1.51264,,
2.55211,0.24097,11,4.25164,1.51264,,
2.55903,0.24097,11,4.25164,1.51264,,
2.56592,0.24097,11,4.25164,1.51264,,
2.57217,0.24097,11,4.25164,1.51264,,
2.58023,0.24097,11,4.25164,1.51264,,
2.58588,0.24097,11,4.25164,1.51264,,
2.59294,0.24097,11,4.25164,1.51264,,
2.59913,0.24097,11,4.25164,1.51264,,
2.60619,0.24097,11,4.25164,1.51264,,
2.61293,0.24097,11,4.25164,1.51264,,
2.61951,0.24097,11,4.25164,1.51264,,
2.62577,0.24097,11,4.25164,1.51264,,
2.63265,0.24097,11,5.34323,5.34468,,
2.63966,0.24097,11,5.34711,5.32508,,
2.64640,0.24097,11,5.39935,5.33761,,
2.65308,0.24097,11,5.37650,5.48258,,
2.65978,0.24097,11,5.29478,5.46760,,
2.66610,0.01971,12,5.44055,5.42566,,
2.67354,0.02715,12,5.39913,5.41438,,
2.67959,0.03319,12,5.35397,5.37224,,
2.68630,0.03990,12,5.36134,5.37740,,
2.69282,0.04642,12,5.29295,5.38953,,
2.69997,0.05358,12,5.40270,5.39566,,
2.70684,0.06044,12,5.40065,5.46024,,
2.71350,0.06710,12,5.40725,5.43844,,
2.71953,0.07314,12,5.38372,5.42005,,
2.72593,0.07953,12,5.37156,5.46489,,
2.73330,0.08690,12,5.36924,5.46367,,
2.73970,0.09330,12,5.35583,5.43278,,
2.74650,0.10010,12,5.33634,5.43676,,
2.75338,0.10698,12,5.34778,5.45366,,
2.76015,0.11375,12,5.32543,5.45926,,
2.76655,0.12015,12,5.47243,5.46281,,
2.77332,0.12692,12,5.46380,5.46766,,
2.78007,0.13368,12,5.47354,5.46568,,
2.78644,0.14005,12,5.45506,5.48680,,
2.79333,0.14693,12,5.44302,5.48991,,
2.80007,0.15368,12,5.45722,5.52116,,
2.80683,0.16043,12,5.45515,5.54663,,
2.81360,0.16720,12,5.45150,5.56191,,
2.82104,0.17464,12,5.43842,5.56444,,
2.82706,0.18066,12,5.50333,5.53884,,
2.83357,0.18718,12,5.48352,5.56492,,
2.84088,0.19448,12,5.45604,5.55380,,
