TIME(2023/11/07 09:56:17.250),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.00000,0.00000,1,4.28965,3.79479,,
0.00671,0.00672,1,4.25407,3.79626,,
0.01318,0.01319,1,4.26895,3.80490,,
0.02087,0.02088,1,4.29051,3.77167,,
0.02710,0.02710,1,4.28179,3.77915,,
0.03442,0.03443,1,4.32091,3.78291,,
0.03998,0.03998,1,4.39030,3.93777,,
0.04675,0.04676,1,4.38237,3.89714,,
0.05383,0.05384,1,4.31606,3.88953,,
0.06018,0.06019,1,4.26682,3.87373,,
0.06720,0.06720,1,4.25955,3.86324,,
0.07367,0.07367,1,4.27160,3.90216,,
0.08063,0.08063,1,4.27602,3.91166,,
0.08734,0.08735,1,4.29843,3.91131,,
0.09381,0.09382,1,4.28752,3.83328,,
0.10071,0.10071,1,4.29299,3.83513,,
0.10675,0.10676,1,4.27862,3.83714,,
0.11407,0.11408,1,4.29754,3.89086,,
0.12085,0.12085,1,4.35388,3.80797,,
0.12701,0.12702,1,4.36615,3.80184,,
0.13354,0.13355,1,4.39961,3.81026,,
0.14050,0.14051,1,4.39206,3.81701,,
0.14722,0.14722,1,4.34281,3.82434,,
0.15399,0.15400,1,4.34168,3.82491,,
0.16071,0.16071,1,4.25953,3.82181,,
0.16724,0.16724,1,4.31340,3.90303,,
0.17407,0.17408,1,4.33488,3.86703,,
0.18127,0.18128,1,4.30849,3.79816,,
0.18793,0.18793,1,4.30321,3.87458,,
0.19446,0.19446,1,4.35998,3.81143,,
0.20129,0.20130,1,4.35009,3.82592,,
0.20789,0.20789,1,4.36559,3.88301,,
0.21466,0.21467,1,4.30256,3.86751,,
0.22046,0.22046,1,4.40862,3.84779,,
0.22766,0.22046,1,4.40449,3.86678,,
0.23407,0.22046,1,4.35964,3.81632,,
0.24213,0.22046,1,4.42168,3.83584,,
0.24786,0.02020,2,4.41447,3.83994,,
0.25433,0.02667,2,4.29650,3.79469,,
0.26111,0.03345,2,4.24866,3.83520,,
0.26776,0.04010,2,4.24776,3.82970,,
0.27448,0.04681,2,4.27066,3.81173,,
0.28113,0.05347,2,4.27796,3.84744,,
0.28845,0.06079,2,4.30739,3.81118,,
0.29517,0.06750,2,4.29950,3.82143,,
0.30164,0.07397,2,4.27914,3.78088,,
0.30847,0.08081,2,4.29879,3.77349,,
0.31506,0.08740,2,4.26787,3.78775,,
0.32178,0.09412,2,4.25130,3.84509,,
0.32843,0.10077,2,4.29503,3.83395,,
0.33514,0.10748,2,4.29779,3.77549,,
0.34241,0.11475,2,4.31842,3.77059,,
0.34796,0.12030,2,4.45125,3.79795,,
0.35480,0.12714,2,4.24869,3.83826,,
0.36188,0.13422,2,4.24588,3.83040,,
0.36810,0.14044,2,4.25691,3.83715,,
0.37500,0.14734,2,4.29853,3.78484,,
0.38171,0.15405,2,4.31050,3.95186,,
0.38873,0.16107,2,4.29383,3.94574,,
0.39520,0.16754,2,4.29453,3.89945,,
0.40210,0.17444,2,4.29852,3.87658,,
0.40881,0.18115,2,4.30884,3.89112,,
0.41553,0.18787,2,4.26545,3.90403,,
0.42200,0.19434,2,4.26376,3.87797,,
0.42871,0.20105,2,4.37285,3.92935,,
0.43573,0.20807,2,4.49171,3.88560,,
0.44238,0.21472,2,4.50627,3.88649,,
0.44910,0.22144,2,4.45532,3.89251,,
0.45685,0.22919,2,4.47907,3.89515,,
0.46350,0.22919,2,4.46346,3.88818,,
0.47095,0.22919,2,4.40708,3.89437,,
0.47601,0.22919,2,4.34218,3.86940,,
0.48218,0.01868,3,4.40039,3.85829,,
0.48859,0.02509,3,4.37875,3.83147,,
0.49597,0.03247,3,4.31889,3.85980,,
0.50287,0.03937,3,4.29993,3.88084,,
0.50940,0.04590,3,4.32922,3.88350,,
0.51605,0.05255,3,4.31129,3.83335,,
0.52271,0.05920,3,4.35743,3.83707,,
0.52942,0.06592,3,4.44135,3.75806,,
0.53625,0.07275,3,4.37831,3.90781,,
0.54291,0.07941,3,4.44114,3.89689,,
0.54932,0.08582,3,4.44124,3.79726,,
0.55627,0.09277,3,4.41099,3.84232,,
0.56250,0.09900,3,4.46087,3.83915,,
0.57031,0.09900,3,4.46692,3.84020,,
0.57648,0.09900,3,4.42354,3.82848,,
0.58264,0.09900,3,4.37193,3.78333,,
0.58929,0.09900,3,4.36848,3.75934,,
