TIME(2023/11/07 10:36:01.021),FPOGD,FPOGID,AOI,
0.00000,0.00000,1,,
0.00659,0.00659,1,,
0.01291,0.01290,1,,
0.01971,0.01971,1,,
0.02628,0.02627,1,,
0.03284,0.03283,1,,
0.03983,0.03982,1,,
0.04648,0.04647,1,,
0.05310,0.05310,1,,
0.05991,0.05990,1,,
0.06659,0.06659,1,,
0.07327,0.07327,1,,
0.07974,0.07974,1,,
0.08707,0.08706,1,,
0.09308,0.09307,1,,
0.09995,0.09994,1,,
0.10654,0.10653,1,,
0.11331,0.11331,1,,
0.12073,0.12072,1,,
0.12711,0.12710,1,,
0.13388,0.13388,1,,
0.14014,0.14013,1,,
0.14719,0.14718,1,,
0.15366,0.15365,1,,
0.15997,0.15997,1,,
0.16678,0.16677,1,,
0.17377,0.17376,1,,
0.18024,0.18023,1,,
0.18698,0.18698,1,,
0.19357,0.19357,1,,
0.20038,0.20037,1,,
0.20706,0.20706,1,,
0.21375,0.21374,1,,
0.22055,0.22055,1,,
0.22723,0.22723,1,,
0.23395,0.23394,1,,
0.24075,0.24075,1,,
0.24734,0.24734,1,,
0.25418,0.25418,1,,
0.26071,0.26071,1,,
0.26709,0.26709,1,,
0.27390,0.27389,1,,
0.28076,0.28076,1,,
0.28775,0.28775,1,,
0.29474,0.29473,1,,
0.30072,0.30072,1,,
0.30765,0.30764,1,,
0.31424,0.31424,1,,
0.32086,0.32086,1,,
0.32751,0.32751,1,,
0.33466,0.33465,1,,
0.34113,0.34112,1,,
0.34827,0.34826,1,,
0.35483,0.35482,1,,
0.36133,0.36132,1,,
0.36795,0.36795,1,,
0.37442,0.37442,1,,
0.38095,0.38095,1,,
0.38834,0.38833,1,,
0.39468,0.39468,1,,
0.40149,0.40149,1,,
0.40918,0.40918,1,,
0.41534,0.41534,1,,
0.42163,0.42163,1,,
0.42831,0.42831,1,,
0.43469,0.43469,1,,
0.44153,0.44152,1,,
0.44858,0.44857,1,,
0.45474,0.45474,1,,
0.46198,0.46197,1,,
0.46820,0.46820,1,,
0.47501,0.47500,1,,
0.48227,0.48227,1,,
0.48822,0.48227,1,,
0.49545,0.48227,1,,
0.50198,0.48227,1,,
0.50867,0.02045,2,,
0.51532,0.02710,2,,
0.52161,0.03339,2,,
0.52856,0.04034,2,,
0.53534,0.04712,2,,
0.54218,0.05396,2,,
0.54886,0.06064,2,,
0.55579,0.06757,2,,
0.56213,0.07391,2,,
0.56918,0.08096,2,,
0.57578,0.08755,2,,
0.58234,0.08755,2,,
0.58932,0.08755,2,,
0.59531,0.08755,2,,
0.60208,0.01974,3,,
0.60916,0.02682,3,,
0.61603,0.03369,3,,
0.62268,0.04034,3,,
0.62906,0.04672,3,,
0.63596,0.05362,3,,
0.64252,0.06018,3,,
0.64911,0.06677,3,,
0.65594,0.07361,3,,
0.66272,0.08038,3,,
0.66974,0.08740,3,,
0.67603,0.09369,3,,
0.68304,0.10071,3,,
0.68976,0.10742,3,,
0.69626,0.11392,3,,
0.70291,0.12057,3,,
0.70941,0.12708,3,,
0.71631,0.13397,3,,
0.72305,0.14072,3,,
0.72968,0.14734,3,,
0.73660,0.15427,3,,
0.74313,0.16080,3,,
0.74979,0.16745,3,,
0.75626,0.17392,3,,
0.76300,0.18066,3,,
0.77014,0.18781,3,,
0.77661,0.19427,3,,
0.78387,0.20154,3,,
0.79025,0.20792,3,,
0.79669,0.21436,3,,
0.80356,0.22122,3,,
0.81012,0.22778,3,,
0.81656,0.23422,3,,
0.82352,0.24118,3,,
0.83054,0.24820,3,,
0.83710,0.25476,3,,
0.84387,0.26154,3,,
0.85004,0.26770,3,,
0.85715,0.27481,3,,
0.86337,0.28104,3,,
0.87012,0.28778,3,,
0.87689,0.29456,3,,
0.88400,0.30167,3,,
0.89087,0.30853,3,,
0.89740,0.31506,3,,
0.90390,0.32156,3,,
0.91058,0.32825,3,,
0.91739,0.33505,3,,
0.92371,0.34137,3,,
0.93039,0.34805,3,,
0.93768,0.35535,3,,
0.94376,0.36142,3,,
0.95099,0.36865,3,,
0.95807,0.37573,3,,
0.96381,0.38147,3,,
0.97058,0.38824,3,,
0.97736,0.39502,3,,
0.98407,0.40173,3,,
0.99094,0.40860,3,,
0.99765,0.41531,3,,
1.00433,0.42200,3,,
1.01083,0.42850,3,,
1.01776,0.43542,3,,
1.02444,0.44211,3,,
1.03137,0.44904,3,,
1.03751,0.45517,3,,
1.04425,0.46191,3,,
1.05087,0.46854,3,,
1.05780,0.47546,3,,
1.06476,0.48242,3,,
1.07111,0.48877,3,,
1.07776,0.49542,3,,
1.08557,0.50323,3,,
1.09125,0.50891,3,,
1.09790,0.51556,3,,
1.10477,0.52243,3,,
1.11111,0.52878,3,,
1.11826,0.53592,3,,
1.12494,0.54260,3,,
1.13181,0.54947,3,,
1.13852,0.55618,3,,
1.14450,0.56216,3,,
1.15149,0.56915,3,,
1.15842,0.57608,3,,
1.16531,0.58298,3,,
1.17206,0.58972,3,,
1.17892,0.59659,3,,
1.18710,0.60477,3,,
1.19168,0.60934,3,,
1.19836,0.61603,3,,
1.20544,0.62311,3,,
1.21204,0.62970,3,,
1.21893,0.63660,3,,
1.22537,0.64304,3,,
1.23236,0.65002,3,,
1.23898,0.65665,3,,
1.24573,0.66339,3,,
1.25217,0.66983,3,,
1.25842,0.67609,3,,
1.26581,0.68347,3,,
1.27255,0.69022,3,,
1.27902,0.69669,3,,
1.28607,0.70374,3,,
1.29233,0.70999,3,,
1.29886,0.71652,3,,
1.30548,0.72314,3,,
1.31229,0.72995,3,,
1.31876,0.73642,3,,
1.32513,0.74280,3,,
1.33203,0.74969,3,,
1.33890,0.75656,3,,
1.34567,0.76334,3,,
1.35239,0.77005,3,,
1.35938,0.77704,3,,
1.36560,0.78326,3,,
1.37244,0.79010,3,,
1.37958,0.79724,3,,
1.38638,0.80405,3,,
1.39285,0.81052,3,,
1.39969,0.81735,3,,
1.40665,0.82431,3,,
1.41245,0.83011,3,,
1.41995,0.83762,3,,
1.42603,0.84369,3,,
1.43280,0.85046,3,,
1.43982,0.85748,3,,
1.44638,0.86404,3,,
1.45325,0.87091,3,,
1.45959,0.87726,3,,
1.46667,0.88434,3,,
1.47299,0.89066,3,,
1.47995,0.89761,3,,
1.48627,0.90393,3,,
1.49301,0.91068,3,,
1.50003,0.91769,3,,
1.50705,0.92471,3,,
1.51340,0.93106,3,,
1.52161,0.93927,3,,
1.52652,0.94418,3,,
1.53336,0.95102,3,,
1.54025,0.95792,3,,
1.54672,0.96439,3,,
1.55328,0.97095,3,,
1.56003,0.97769,3,,
1.56693,0.98459,3,,
1.57373,0.99139,3,,
1.58038,0.99805,3,,
1.58676,1.00443,3,,
1.59354,1.01120,3,,
1.60086,1.01120,3,,
1.60745,1.01120,3,,
1.61365,1.01120,3,,
1.62082,0.01996,4,,
1.62708,0.02621,4,,
1.63510,0.03424,4,,
1.64053,0.03967,4,,
1.64731,0.04645,4,,
1.65433,0.05347,4,,
1.66046,0.05960,4,,
1.66797,0.06711,4,,
1.67416,0.07330,4,,
1.68097,0.08011,4,,
1.68765,0.08679,4,,
1.69434,0.09348,4,,
1.70065,0.09979,4,,
1.70779,0.10693,4,,
1.71463,0.11377,4,,
1.72131,0.12045,4,,
1.72751,0.12665,4,,
1.73526,0.13440,4,,
1.74106,0.14020,4,,
1.74771,0.14685,4,,
1.75473,0.15387,4,,
1.76166,0.16080,4,,
1.76816,0.16730,4,,
1.77469,0.17383,4,,
1.78137,0.18051,4,,
1.78772,0.18686,4,,
1.79446,0.19360,4,,
1.80127,0.20041,4,,
1.80792,0.20706,4,,
1.81506,0.21420,4,,
1.82193,0.22107,4,,
1.82889,0.22803,4,,
1.83502,0.23416,4,,
1.84183,0.24097,4,,
1.84814,0.24728,4,,
1.85507,0.25421,4,,
1.86148,0.26062,4,,
1.86859,0.26773,4,,
1.87531,0.27444,4,,
1.88208,0.28122,4,,
1.88855,0.28769,4,,
1.89514,0.29428,4,,
1.90189,0.30103,4,,
1.90857,0.30771,4,,
1.91486,0.31400,4,,
1.92203,0.32117,4,,
1.92847,0.32761,4,,
1.93558,0.33472,4,,
1.94217,0.34131,4,,
1.94907,0.34821,4,,
1.95572,0.35486,4,,
1.96188,0.36102,4,,
1.96872,0.36786,4,,
1.97525,0.37439,4,,
1.98199,0.38113,4,,
1.98923,0.38837,4,,
1.99594,0.39508,4,,
2.00256,0.40170,4,,
2.00909,0.40823,4,,
2.01584,0.41498,4,,
2.02249,0.42163,4,,
2.02869,0.42783,4,,
2.03586,0.43500,4,,
2.04254,0.44168,4,,
2.04932,0.44846,4,,
2.05569,0.45483,4,,
2.06241,0.46155,4,,
2.06979,0.46893,4,,
2.07584,0.47498,4,,
2.08252,0.48166,4,,
2.08972,0.48886,4,,
2.09644,0.49557,4,,
2.10291,0.50204,4,,
2.10980,0.50894,4,,
2.11624,0.51538,4,,
2.12326,0.52240,4,,
2.12988,0.52902,4,,
2.13611,0.53525,4,,
2.14334,0.54248,4,,
2.14999,0.54913,4,,
2.15671,0.55585,4,,
2.16318,0.56232,4,,
2.17001,0.56915,4,,
2.17654,0.56915,4,,
2.18329,0.56915,4,,
2.18964,0.56915,4,,
2.19635,0.01981,5,,
2.20355,0.02701,5,,
2.20999,0.03345,5,,
2.21695,0.04041,5,,
2.22369,0.04715,5,,
2.23016,0.05362,5,,
2.23685,0.06030,5,,
2.24329,0.06674,5,,
2.25052,0.07397,5,,
2.25674,0.08020,5,,
2.26389,0.08734,5,,
2.27057,0.09402,5,,
2.27689,0.10034,5,,
2.28351,0.10696,5,,
2.29028,0.11374,5,,
2.29691,0.12036,5,,
2.30386,0.12732,5,,
2.31067,0.13412,5,,
2.31741,0.14087,5,,
2.32388,0.14734,5,,
2.33066,0.15411,5,,
2.33734,0.16080,5,,
