TIME(2023/11/07 11:44:49.338),FPOGD,FPOGID,AOI,
0.06726,0.06726,2,,
0.17371,0.05981,3,,
0.30762,0.08685,4,,
0.43518,0.10028,5,,
0.48212,0.01996,6,,
0.54895,0.06061,7,,
0.81689,0.12079,8,,
0.91742,0.09406,9,,
1.01123,0.08746,10,,
1.14526,0.10773,11,,
1.45959,0.20758,12,,
1.70795,0.24194,13,,
2.10327,0.38904,14,,
2.49152,0.38153,15,,
2.65924,0.14056,16,,
2.76080,0.09540,17,,
2.91034,0.12292,18,,
2.98676,0.04950,19,,
3.13440,0.07996,20,,
3.36200,0.18030,21,,
3.56293,0.03290,22,,
3.91809,0.10699,23,,
4.20654,0.08063,24,,
4.33313,0.01709,25,,
4.44043,0.08008,26,,
4.52808,0.02008,27,,
4.68164,0.04639,28,,
4.95685,0.14789,29,,
5.13031,0.16675,30,,
5.29840,0.16089,31,,
5.64667,0.34204,32,,
5.88782,0.23492,33,,
6.12848,0.21454,34,,
6.25653,0.12140,35,,
6.42316,0.16022,36,,
6.58447,0.15411,37,,
6.76459,0.17316,38,,
7.05365,0.26154,39,,
7.27423,0.21417,40,,
7.46838,0.16766,41,,
7.55524,0.07990,42,,
7.76935,0.18567,43,,
8.06427,0.26770,44,,
8.37964,0.28809,45,,
8.46667,0.06024,46,,
8.79492,0.20099,47,,
8.90234,0.10059,48,,
9.02319,0.11316,49,,
9.23029,0.17926,50,,
9.33728,0.10028,51,,
9.50494,0.16071,52,,
9.80664,0.27539,53,,
9.90015,0.06702,54,,
10.04108,0.13336,55,,
10.15521,0.04773,56,,
10.35553,0.05408,57,,
10.45770,0.07532,58,,
10.59003,0.12476,59,,
10.68390,0.08765,60,,
10.84436,0.11407,61,,
11.11255,0.06104,62,,
11.17896,0.03961,63,,
11.22101,0.03497,64,,
11.41394,0.12775,65,,
11.65009,0.18921,66,,
11.74219,0.08679,67,,
11.90295,0.15405,68,,
12.31183,0.12085,69,,
12.43237,0.09406,70,,
12.72638,0.08636,71,,
12.88092,0.08759,72,,
12.92731,0.02014,73,,
13.14154,0.10657,74,,
13.36957,0.01935,75,,
13.40277,0.02686,76,,
13.57104,0.01935,77,,
13.59717,0.01965,78,,
13.78467,0.08026,79,,
13.99280,0.08038,80,,
14.05981,0.02057,81,,
14.10669,0.01984,82,,
14.57495,0.05969,83,,
14.72284,0.06067,84,,
14.93732,0.02740,85,,
15.39948,0.11371,86,,
15.64062,0.13428,87,,
16.02191,0.03357,88,,
16.85919,0.02631,89,,
17.24823,0.08044,90,,
17.43542,0.01978,91,,
17.70367,0.01996,92,,
18.27258,0.08026,93,,
18.40698,0.08710,94,,
18.52124,0.02710,95,,
18.71515,0.08752,96,,
18.84204,0.08057,97,,
19.07660,0.18701,98,,
19.22449,0.06055,99,,
19.47876,0.24786,100,,
19.72656,0.24115,101,,
19.96069,0.04657,102,,
20.06818,0.06024,103,,
20.28278,0.04712,104,,
20.64423,0.12976,105,,
20.73785,0.06683,106,,
20.90637,0.10138,107,,
21.08600,0.03296,108,,
21.12659,0.03351,109,,
21.40759,0.05334,110,,
21.52826,0.07349,111,,
21.84943,0.03296,112,,
22.51984,0.04041,113,,
22.63367,0.02722,114,,
23.52454,0.08038,115,,
23.65851,0.10718,116,,
23.72546,0.04016,117,,
23.89905,0.08673,118,,
24.10059,0.07367,119,,
24.44177,0.05316,120,,
24.56281,0.07434,121,,
24.82361,0.07330,122,,
24.94452,0.05353,123,,
25.05176,0.06061,124,,
25.86255,0.18097,125,,
25.95599,0.06696,126,,
26.21057,0.04688,127,,
