TIME(2023/11/07 14:26:08.627),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.18076,0.18075,2,5.64306,5.80830,,
0.50177,0.29456,3,5.92724,5.63190,,
0.81656,0.18811,4,5.95326,5.70449,,
0.92316,0.09976,5,5.97288,5.78529,,
1.49283,0.54276,6,5.56047,5.54792,,
1.82162,0.15921,7,5.33336,5.43272,,
2.00833,0.16089,8,5.42335,5.48541,,
2.20316,0.18811,9,5.17745,5.35167,,
2.52432,0.31454,10,4.99527,5.09413,,
3.21863,0.68738,11,4.95661,5.06904,,
3.47549,0.11404,12,4.43095,4.37219,,
3.81726,0.33527,13,4.64964,4.49494,,
4.19925,0.37558,14,4.84115,4.83978,,
4.42029,0.21457,15,5.22365,4.86436,,
4.56766,0.14032,16,5.34421,5.00965,,
4.73459,0.16025,17,5.21980,5.06760,ST-Full-W1,
4.86237,0.12057,18,5.19408,5.12927,ST-Full,
5.01620,0.14774,19,5.28335,5.13965,,
5.23706,0.21451,20,5.41138,5.25747,ST-Full,
5.83365,0.59042,21,5.10180,5.07157,ST-Full-W1,
5.96710,0.12671,22,5.03590,4.94252,ST-Full-W1,
6.08096,0.10663,23,2.53567,2.09543,ST-Full-W1,
6.40918,0.24078,24,5.22863,5.23164,ST-Full-W2,
6.71783,0.30142,25,4.99620,4.97928,ST-Full-W3,
6.96594,0.24142,26,4.83083,4.84395,ST-Full-W4,
7.14645,0.17410,27,4.92856,4.83101,ST-Full-W2-W3,
7.35339,0.20020,28,5.05264,5.10142,ST-Full-W1,
7.58792,0.08640,29,5.19733,5.23205,ST-Full-W12,
7.73599,0.14069,30,5.36781,5.43053,ST-Full-W12,
8.10431,0.36133,31,4.99451,5.01592,ST-Full-W3,
8.56580,0.45529,32,4.96787,4.82253,ST-Full-W3-W4,
8.95505,0.38181,33,4.94754,4.99031,ST-Full-W4,
9.11545,0.15369,34,5.01947,5.06336,ST-Full-W4,
9.35028,0.22775,35,5.16804,5.09942,ST-Full-W4,
9.54453,0.18756,36,5.21801,5.11928,ST-Full-W4,
9.82611,0.27484,37,4.98173,4.96361,ST-Full-W4-W13,
9.95981,0.12732,38,4.62783,4.42595,ST-Full-W4,
10.42157,0.35504,39,5.11699,5.16633,ST-Full-W4,
10.64276,0.21402,40,4.83244,4.97596,ST-Full-W5,
10.94446,0.29471,41,4.92448,4.92648,ST-Full-W6,
11.07123,0.12057,42,4.93528,5.13982,ST-Full-W5,
11.55399,0.45569,43,5.05468,5.21316,ST-Full-W12,
12.10999,0.38898,44,5.00694,5.05509,ST-Full-W12,
12.36453,0.24753,45,5.07895,4.91074,ST-Full-W2-W3,
12.55206,0.16122,46,5.14881,5.12577,ST-Full-W4,
12.78592,0.22714,47,5.20916,5.00760,ST-Full-W5,
13.06143,0.26794,48,5.50764,5.18596,ST-Full-W6,
13.17435,0.08612,49,5.53967,5.30351,ST-Full,
13.42261,0.21945,50,5.29039,5.35563,ST-Full-W4,
13.51669,0.08713,51,5.18712,5.39201,ST-Full-W3,
13.65729,0.13367,52,5.13322,5.30003,ST-Full-W1,
13.91858,0.25510,53,5.32956,5.34272,ST-Full,
14.03241,0.10718,54,3.87567,4.64297,ST-Full-W11,
14.31992,0.18094,55,5.56045,5.56056,ST-Full-W1-W11,
14.56827,0.20142,56,5.45552,5.23812,ST-Full-W6,
14.72900,0.15457,57,5.34206,5.24553,ST-Full-W5,
14.92282,0.18710,58,5.22035,5.28442,ST-Full-W4,
15.10394,0.17419,59,5.30230,5.35101,ST-Full-W4,
15.25778,0.14667,60,5.20127,5.44561,ST-Full-W3,
15.47858,0.21420,61,5.33199,5.42285,ST-Full-W1-W2,
