TIME(2023/11/07 10:41:09.385),FPOGD,FPOGID,AOI,
0.00000,0.00000,1,,
0.00739,0.00739,1,,
0.01398,0.01398,1,,
0.02081,0.02082,1,,
0.02704,0.02704,1,,
0.03381,0.03382,1,,
0.04047,0.04047,1,,
0.04700,0.04700,1,,
0.05432,0.05432,1,,
0.06079,0.06079,1,,
0.06744,0.06745,1,,
0.07446,0.07447,1,,
0.08063,0.08063,1,,
0.08716,0.08716,1,,
0.09418,0.09418,1,,
0.10120,0.10120,1,,
0.10748,0.10749,1,,
0.11450,0.11450,1,,
0.12097,0.12097,1,,
0.12769,0.12769,1,,
0.13446,0.13446,1,,
0.14087,0.14087,1,,
0.14801,0.14801,1,,
0.15424,0.15424,1,,
0.16101,0.16101,1,,
0.16760,0.16761,1,,
0.17438,0.17438,1,,
0.18121,0.18122,1,,
0.18799,0.18799,1,,
0.19440,0.19440,1,,
0.20093,0.20093,1,,
0.20813,0.20813,1,,
0.21515,0.21515,1,,
0.22156,0.22156,1,,
0.22815,0.22815,1,,
0.23499,0.23499,1,,
0.24133,0.24134,1,,
0.24835,0.24835,1,,
0.25482,0.25482,1,,
0.26160,0.26160,1,,
0.26807,0.26807,1,,
0.27478,0.27478,1,,
0.28149,0.28150,1,,
0.28876,0.28876,1,,
0.29523,0.29523,1,,
0.30157,0.30158,1,,
0.30835,0.30835,1,,
0.31555,0.31555,1,,
0.32202,0.32202,1,,
0.32867,0.32868,1,,
0.33533,0.33533,1,,
0.34265,0.34265,1,,
0.34900,0.34900,1,,
0.35565,0.35565,1,,
0.36194,0.36194,1,,
0.36871,0.36872,1,,
0.37549,0.37549,1,,
0.38190,0.38190,1,,
0.38855,0.38855,1,,
0.39563,0.39563,1,,
0.40234,0.40235,1,,
0.40967,0.40967,1,,
0.41528,0.41529,1,,
0.42242,0.42243,1,,
0.42920,0.42920,1,,
0.43585,0.43585,1,,
0.44238,0.43585,1,,
0.44928,0.43585,1,,
0.45581,0.43585,1,,
0.46259,0.02020,2,,
0.46912,0.02673,2,,
0.47577,0.03339,2,,
0.48297,0.04059,2,,
0.48907,0.04669,2,,
0.49640,0.05402,2,,
0.50299,0.06061,2,,
0.50958,0.06720,2,,
0.51648,0.07410,2,,
0.52264,0.08026,2,,
0.52985,0.08746,2,,
0.53638,0.09399,2,,
0.54285,0.10046,2,,
0.54974,0.10736,2,,
0.55640,0.11401,2,,
0.56317,0.12079,2,,
0.56982,0.12744,2,,
0.57623,0.13385,2,,
0.58344,0.14105,2,,
0.58966,0.14728,2,,
0.59644,0.15405,2,,
0.60309,0.16071,2,,
0.61005,0.16766,2,,
0.61676,0.17438,2,,
0.62366,0.18127,2,,
0.63043,0.18805,2,,
0.63660,0.19421,2,,
0.64355,0.20117,2,,
0.65039,0.20801,2,,
0.65680,0.21442,2,,
0.66357,0.22119,2,,
0.67047,0.22809,2,,
0.67682,0.23444,2,,
0.68390,0.23444,2,,
0.69037,0.23444,2,,
0.69684,0.23444,2,,
0.70349,0.23444,2,,
0.71027,0.23444,2,,
0.71692,0.23444,2,,
0.72418,0.02069,3,,
0.73114,0.02765,3,,
0.73730,0.03381,3,,
0.74384,0.04034,3,,
0.75092,0.04742,3,,
0.75726,0.05377,3,,
0.76410,0.06061,3,,
0.77075,0.06726,3,,
0.77747,0.07397,3,,
0.78406,0.08057,3,,
0.79089,0.08740,3,,
0.79736,0.09387,3,,
0.80408,0.10059,3,,
0.81079,0.10730,3,,
0.81750,0.11401,3,,
0.82404,0.12054,3,,
0.83099,0.12750,3,,
0.83795,0.13446,3,,
0.84467,0.14117,3,,
0.85175,0.14825,3,,
0.85754,0.15405,3,,
0.86450,0.16101,3,,
0.87146,0.16797,3,,
0.87811,0.17462,3,,
0.88489,0.18140,3,,
0.89160,0.18811,3,,
0.89783,0.19434,3,,
0.90491,0.20142,3,,
0.91113,0.20142,3,,
0.91797,0.20142,3,,
0.92450,0.20142,3,,
0.93103,0.01990,4,,
0.93848,0.02734,4,,
0.94513,0.03400,4,,
0.95190,0.04077,4,,
0.95831,0.04718,4,,
0.96576,0.05463,4,,
0.97198,0.06085,4,,
0.97839,0.06726,4,,
0.98511,0.07397,4,,
0.99188,0.08075,4,,
0.99908,0.08795,4,,
1.00531,0.09418,4,,
1.01160,0.10046,4,,
1.01849,0.10736,4,,
1.02515,0.11401,4,,
1.03223,0.12109,4,,
1.03839,0.12726,4,,
1.04510,0.13397,4,,
1.05176,0.13397,4,,
1.05835,0.13397,4,,
1.06573,0.13397,4,,
1.07202,0.13397,4,,
1.07910,0.13397,4,,
1.08594,0.13397,4,,
1.09235,0.02032,5,,
1.09924,0.02722,5,,
1.10590,0.03387,5,,
1.11237,0.04034,5,,
1.11902,0.04700,5,,
1.12543,0.05341,5,,
1.13239,0.06036,5,,
1.13904,0.06702,5,,
1.14563,0.07361,5,,
1.15240,0.08038,5,,
1.15955,0.08752,5,,
1.16614,0.09412,5,,
1.17261,0.10059,5,,
1.17938,0.10736,5,,
1.18610,0.11407,5,,
1.19281,0.12079,5,,
1.19952,0.12750,5,,
1.20612,0.13409,5,,
1.21283,0.14081,5,,
1.21948,0.14746,5,,
1.22601,0.15399,5,,
1.23291,0.16089,5,,
1.23962,0.16760,5,,
1.24603,0.17401,5,,
1.25281,0.18079,5,,
1.25946,0.18744,5,,
1.26624,0.19421,5,,
1.27289,0.19421,5,,
1.27936,0.19421,5,,
1.28607,0.19421,5,,
1.29254,0.01965,6,,
1.29956,0.02667,6,,
1.30688,0.03400,6,,
1.31317,0.04028,6,,
1.32086,0.04797,6,,
1.32648,0.05359,6,,
1.33350,0.06061,6,,
1.34039,0.06750,6,,
1.34680,0.07391,6,,
1.35419,0.08130,6,,
1.35999,0.08710,6,,
1.36646,0.09357,6,,
1.37347,0.10059,6,,
1.38043,0.10754,6,,
1.38727,0.11438,6,,
1.39331,0.12042,6,,
1.40057,0.12769,6,,
1.40735,0.13446,6,,
1.41345,0.14056,6,,
1.42078,0.14789,6,,
1.42712,0.15424,6,,
1.43414,0.16125,6,,
1.44086,0.16797,6,,
1.44818,0.17529,6,,
1.45428,0.18140,6,,
1.46075,0.18787,6,,
1.46692,0.19403,6,,
1.47412,0.20123,6,,
1.48053,0.20764,6,,
1.48718,0.21429,6,,
1.49426,0.22137,6,,
1.50110,0.22137,6,,
1.50726,0.22137,6,,
1.51453,0.22137,6,,
1.52100,0.01990,7,,
1.52753,0.02643,7,,
1.53430,0.03320,7,,
1.54095,0.03986,7,,
1.54797,0.04688,7,,
1.55450,0.05341,7,,
1.56097,0.05988,7,,
1.56787,0.06677,7,,
1.57428,0.07318,7,,
1.58124,0.08014,7,,
1.58777,0.08667,7,,
1.59430,0.09320,7,,
1.60065,0.09955,7,,
1.60809,0.10699,7,,
1.61511,0.11401,7,,
1.62140,0.12030,7,,
1.62836,0.12726,7,,
1.63489,0.13379,7,,
1.64154,0.14044,7,,
1.64819,0.14709,7,,
1.65497,0.15387,7,,
1.66162,0.16052,7,,
1.66840,0.16730,7,,
1.67456,0.17346,7,,
1.68158,0.18048,7,,
1.68817,0.18707,7,,
