TIME(2023/11/07 10:41:09.385),FPOGD,FPOGID,AOI,
0.43585,0.43585,1,,
0.67682,0.23444,2,,
0.90491,0.20142,3,,
1.04510,0.13397,4,,
1.26624,0.19421,5,,
1.49426,0.22137,6,,
1.70160,0.20050,7,,
1.98999,0.26129,8,,
2.36517,0.36835,9,,
2.94061,0.56921,10,,
3.30316,0.35535,11,,
3.53046,0.20135,12,,
4.03979,0.50293,13,,
4.31378,0.26727,14,ST-Full,
4.63000,0.30890,15,ST-N-Full,
5.09082,0.15363,16,,
5.42584,0.20471,17,ST-Full,
5.78119,0.34863,18,ST-Full,
6.24969,0.46191,19,ST-Full,
6.45099,0.19409,20,ST-Full,
7.12903,0.67133,21,ST-Full,
7.25537,0.12103,22,ST-Full,
7.52917,0.26746,23,ST-Full,
7.82416,0.28827,24,ST-Full,
7.99884,0.16803,25,ST-Full,
8.43396,0.42865,26,ST-Full,
8.59448,0.15393,27,ST-Full,
8.89606,0.29523,28,ST-Full,
9.28412,0.38159,29,ST-Full,
9.49207,0.20068,30,ST-Full,
9.74677,0.24817,31,ST-Full,
10.02814,0.15405,32,,
10.32275,0.28839,33,,
10.50323,0.17395,34,,
10.65106,0.14062,35,,
10.81818,0.16040,36,,
10.95917,0.11389,37,,
11.04578,0.08032,38,,
11.16681,0.09375,39,,
11.23999,0.06641,40,,
11.42139,0.13397,41,,
11.55469,0.08685,42,,
11.66882,0.08734,43,,
11.76965,0.09320,44,,
11.89655,0.12036,45,,
12.01074,0.08679,46,,
12.19153,0.17450,47,,
12.44580,0.16730,48,ST-Full,
12.74078,0.26825,49,,
13.14288,0.39532,50,,
13.45050,0.30096,51,,
13.71216,0.15448,52,,
13.81921,0.10034,53,,
13.98016,0.15430,54,,
14.13513,0.12885,55,,
14.22772,0.08667,56,,
14.34143,0.10736,57,,
14.55566,0.18719,58,,
14.71692,0.09369,59,,
14.84424,0.10046,60,,
15.03827,0.16766,61,,
15.08539,0.02014,62,,
15.14545,0.03381,63,,
15.29968,0.08728,64,,
15.62097,0.13385,65,TT-Full,
15.93610,0.30865,66,TT-Full,
16.11670,0.09381,67,,
16.25067,0.08740,68,,
16.41125,0.11389,69,,
16.57916,0.10065,70,,
16.72601,0.14020,71,,
16.86676,0.13379,72,,
16.96753,0.09369,73,,
17.05469,0.08087,74,,
17.26855,0.08722,75,TT-Full,
17.49683,0.22137,76,TT-Full,
18.11279,0.60931,77,TT-Full,
18.37408,0.09406,78,,
18.52814,0.12085,79,,
18.62164,0.08685,80,,
18.90302,0.13379,81,TT-Full,
19.14404,0.23413,82,TT-Full,
19.34534,0.15387,83,ST-Full,
19.68713,0.33496,84,ST-Full,
19.86798,0.17450,85,ST-Full,
20.09564,0.22089,86,ST-Full,
20.36298,0.26056,87,ST-Full,
20.59760,0.22729,88,ST-Full,
20.82532,0.22101,89,ST-Full,
21.17401,0.08026,90,,
21.60931,0.14758,91,ST-Full,
21.85718,0.22076,92,ST-Full,
22.19232,0.32837,93,ST-Full,
22.40002,0.20093,94,ST-Full,
22.61438,0.20776,95,ST-Full,
22.76837,0.14728,96,ST-Full,
23.23700,0.46198,97,ST-Full,
23.59210,0.34857,98,ST-Full,
23.89319,0.11377,99,ST-Full,
24.08801,0.18811,100,ST-Full,
24.38269,0.28802,101,ST-Full,
24.61041,0.22107,102,ST-Full,
24.89850,0.28137,103,ST-Full,
25.15967,0.25470,104,ST-Full,
25.42053,0.25415,105,ST-Full,
25.70233,0.23474,106,TT-Full,
25.90326,0.19434,107,,
26.42548,0.47559,108,ST-Full,
26.65283,0.22101,109,ST-Full,
26.93481,0.25458,110,ST-Full,
27.35675,0.41516,111,ST-Full,
27.87903,0.51526,112,ST-Full,
28.21411,0.16772,113,ST-Full,
28.39478,0.17389,114,ST-Full,
28.56921,0.16791,115,ST-Full,
28.78345,0.20789,116,ST-Full,
29.01105,0.22083,117,ST-Full,
29.33270,0.31500,118,ST-Full,
29.63416,0.17407,119,,
29.84821,0.18732,120,,
30.14307,0.12732,121,ST-N-Full,
30.46478,0.31531,122,ST-Full,
30.76617,0.25482,123,TT-Full,
31.08765,0.31476,124,TT-Full,
31.28198,0.18762,125,TT-Full,
31.39587,0.04694,126,ST-N-Full,
31.85132,0.40857,127,ST-Full,
32.13226,0.23419,128,TT-Full,
32.34668,0.20795,129,TT-Full,
33.00970,0.65649,130,TT-Full,
33.26465,0.20819,131,ST-Full,
33.57965,0.30847,132,ST-Full,
33.73364,0.14764,133,ST-Full,
33.85413,0.11383,134,ST-Full,
33.98071,0.01941,135,,
34.17572,0.08734,136,,
34.31628,0.13354,137,,
34.42310,0.10004,138,,
34.54340,0.11353,139,,
34.89868,0.26685,140,ST-Full,
35.18048,0.27515,141,ST-Full,
35.53583,0.30908,142,TT-Full,
36.15839,0.61670,143,TT-Full,
36.41968,0.21484,144,ST-Full,
37.45789,1.03149,145,ST-Full,
37.71222,0.10669,146,,
37.78583,0.04706,147,,
37.90668,0.09399,148,,
38.03369,0.08032,149,,
38.13440,0.09381,150,,
38.23480,0.09442,151,,
38.44897,0.10437,152,ST-Full,
39.03235,0.55627,153,TT-Full,
39.37335,0.27441,154,ST-Full,
39.73456,0.35461,155,ST-Full,
40.04291,0.18042,156,,
40.17694,0.12732,157,,
40.27716,0.09302,158,,
40.42517,0.12048,159,,
40.54559,0.09381,160,,
40.57257,0.02020,161,,
41.06134,0.46228,162,,
41.17578,0.08740,163,,
41.29578,0.09351,164,,
41.45007,0.14734,165,,
41.71075,0.09161,166,ST-Full,
41.90540,0.18732,167,ST-Full,
42.17297,0.18036,168,,
42.28009,0.10040,169,,
42.40051,0.09369,170,,
42.44720,0.03992,171,,
42.68414,0.14319,172,ST-Full,
43.07764,0.38660,173,ST-Full,
43.34534,0.22107,174,TT-Full,
43.46582,0.11383,175,TT-Full,
43.87439,0.38153,176,,
44.18304,0.12073,177,ST-Full,
44.39069,0.20093,178,ST-Full,
44.57117,0.17377,179,ST-Full,
44.71893,0.14111,180,ST-Full,
44.95953,0.11353,181,,
45.13416,0.16797,182,,
45.25494,0.09454,183,,
45.56934,0.14771,184,TT-Full,
46.25287,0.67676,185,,
46.42688,0.04675,186,,
46.70825,0.25452,187,,
46.80188,0.08673,188,,
46.90918,0.08032,189,,
47.04974,0.11365,190,,
47.64563,0.24768,191,TT-Full,
47.94751,0.29474,192,TT-Full,
48.23553,0.26166,193,,
48.63019,0.38794,194,,
48.81140,0.09357,195,,
48.92517,0.10730,196,,
49.05902,0.10712,197,,
49.31378,0.16748,198,,
49.40027,0.07977,199,,
49.74939,0.12067,200,,
49.80945,0.05359,201,,
50.19116,0.13422,202,TT-Full,
50.47913,0.28125,203,,
51.04828,0.56262,204,TT-Full,
51.25598,0.20081,205,TT-Full,
51.57129,0.28876,206,TT-Full,
51.83191,0.09332,207,,
52.03949,0.05963,208,,
52.28101,0.13129,209,TT-Full,
53.65399,1.36633,210,,
54.06982,0.38898,211,TT-Full,
54.35046,0.23431,212,ST-Full,
55.09436,0.73651,213,ST-Full,
55.32202,0.09821,214,TT-Full,
55.53729,0.14801,215,,
55.59003,0.02710,216,,
55.81134,0.05383,217,,
56.21942,0.16040,218,TT-Full,
56.32660,0.10040,219,TT-Full,
56.53424,0.19995,220,,
57.14429,0.60291,221,,
57.39844,0.20746,222,ST-Full,
57.62622,0.22083,223,ST-Full,
58.06165,0.42877,224,ST-Full,
