TIME(2023/11/07 11:54:00.766),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.20129,0.20129,1,3.23661,4.16966,,
0.40869,0.18115,2,3.43263,3.22343,,
0.60315,0.16748,3,3.44225,3.25287,,
1.01917,0.38953,4,3.40920,3.32086,,
1.35266,0.16077,5,3.98615,3.87048,,
1.51379,0.15430,6,3.58087,3.80670,,
1.80872,0.28833,7,3.54147,3.68579,,
2.20361,0.38818,8,3.79650,3.69978,,
2.59888,0.38867,9,3.78550,4.10452,,
2.86011,0.25427,10,3.79308,3.99788,,
2.95825,0.09106,11,2.79288,2.67361,,
3.16797,0.18079,12,2.91529,2.67651,,
3.42310,0.24780,13,2.81132,2.68741,,
3.60388,0.15442,14,3.01881,2.82928,,
3.86511,0.25500,15,3.21398,3.00314,,
3.96509,0.09326,16,4.30589,4.35312,,
4.11304,0.14075,17,4.20452,4.31475,,
4.44788,0.32849,18,4.25428,4.43448,ST-Full-W14,
4.66882,0.21423,19,4.23128,4.18896,ST-Full-W14,
4.83643,0.16077,20,4.12272,4.39968,ST-Full,
4.95679,0.11426,21,4.19308,4.25871,ST-Full,
5.13757,0.17395,22,4.41012,4.60140,ST-Full,
5.37219,0.22766,23,4.13221,3.36174,ST-Full,
5.58655,0.20764,24,3.28243,3.44521,ST-Full,
6.00159,0.40833,25,3.41367,3.59580,ST-Full-W10,
6.21606,0.16772,26,3.33313,4.07697,ST-Full-W12,
6.41003,0.18713,27,3.31283,4.20589,ST-Full-W12,
6.71826,0.30139,28,3.30549,4.07805,ST-Full-W12,
6.97986,0.25452,29,4.44590,4.21467,ST-Full,
7.18713,0.20081,30,4.15808,3.89389,ST-Full-W12,
7.37512,0.18103,31,4.22738,4.06008,ST-Full,
7.58911,0.20740,32,4.19130,4.09824,ST-Full,
7.75012,0.15332,33,3.90386,4.11162,ST-Full,
7.99158,0.23474,34,4.05926,3.99585,ST-Full,
8.19897,0.20105,35,4.03663,3.96089,ST-Full-W14,
8.37329,0.16760,36,4.04450,4.04493,ST-Full,
8.48022,0.10071,37,3.98369,3.93436,ST-Full,
8.83521,0.34851,38,4.30873,4.13471,ST-Full-W13,
9.05627,0.21423,39,3.23698,4.17871,ST-Full-W13,
9.23694,0.17383,40,4.40350,4.18068,ST-Full-W3,
